Team,Athlete,Score,Remark,Form
BRU,Li Hui,9.07,1st Category Prize,International Men's Group D Traditional Soft Weapon
BRA,Jose Carlos BARBOSA,9,2nd Category Prize,International Men's Group D Traditional Soft Weapon
ROU,Serbanescu Mihai,8.9,3rd Category Prize,International Men's Group D Traditional Soft Weapon
USA,Juan Carlos PROANO,8.88,3rd Category Prize,International Men's Group D Traditional Soft Weapon
USA,Wade BLEVINS,8.84,,International Men's Group D Traditional Soft Weapon
JPN,HIDEAKI MURAI,8.65,,International Men's Group D Traditional Soft Weapon
USA,Phillip DANG,8.98,1st Category Prize,International Men's Group C Other Traditional Single Weapon
JPN,KENTA OCHI,8.96,2nd Category Prize,International Men's Group C Other Traditional Single Weapon
RSA,Thor VAN DER MESCHT,8.92,2nd Category Prize,International Men's Group C Other Traditional Single Weapon
GEO,DAVID GULISASHVIILI,8.9,2nd Category Prize,International Men's Group C Other Traditional Single Weapon
SRI,J.M.HIRUSHA MADUSHANKA,8.85,3rd Category Prize,International Men's Group C Other Traditional Single Weapon
NOR,Kim Gibson,8.84,3rd Category Prize,International Men's Group C Other Traditional Single Weapon
HKG,SUEN Hung Kong,8.84,3rd Category Prize,International Men's Group C Other Traditional Single Weapon
CAN,Zachary James Joslin Beauchamp,8.82,3rd Category Prize,International Men's Group C Other Traditional Single Weapon
FRA,CONTOZ Eudes,8.78,,International Men's Group C Other Traditional Single Weapon
YEM,YOUSEF ALI AL-KHUDHARI,8.77,,International Men's Group C Other Traditional Single Weapon
PER,MIGUEL ANGEL PASTOR CALDERON,8.76,,International Men's Group C Other Traditional Single Weapon
RUS,Andrey ASKAROV,8.73,,International Men's Group C Other Traditional Single Weapon
GRE,TSOLAKIDIS DIMITRIOS,8.7,,International Men's Group C Other Traditional Single Weapon
SRI,M.M.R.MALINDA JAYASINGHE,8.68,,International Men's Group C Other Traditional Single Weapon
CHN,LIU XIN,8.98,1st Category Prize,International Women's Group D Other Traditional Weapon
AUS,Sandra Cathro,8.94,2nd Category Prize,International Women's Group D Other Traditional Weapon
USA,Jennifer WEITZ,8.93,2nd Category Prize,International Women's Group D Other Traditional Weapon
KGZ,Natalia NESHCHERET,8.87,2nd Category Prize,International Women's Group D Other Traditional Weapon
ROU,Vladut Roxana Ileana,8.85,3rd Category Prize,International Women's Group D Other Traditional Weapon
USA,Lin GAO,8.83,3rd Category Prize,International Women's Group D Other Traditional Weapon
BRA,Selma Kazue SAKATE,8.82,3rd Category Prize,International Women's Group D Other Traditional Weapon
AUS,Rosemary Hermans,8.8,3rd Category Prize,International Women's Group D Other Traditional Weapon
FRA,PROVENCHER Judith,8.78,,International Women's Group D Other Traditional Weapon
USA,Rhonda HARJO,8.78,,International Women's Group D Other Traditional Weapon
KGZ,Elena PAVLENKO,8.77,,International Women's Group D Other Traditional Weapon
AUS,Eugenia Ngau,8.76,,International Women's Group D Other Traditional Weapon
KGZ,Tatiana PAK,8.71,,International Women's Group D Other Traditional Weapon
CHN,WANG CHAO,9.07,1st Category Prize,International Men's Group D Other Traditional Single Weapon
USA,Christopher SHEPHERD,9.06,2nd Category Prize,International Men's Group D Other Traditional Single Weapon
POL,Roman Lichacz,9.03,2nd Category Prize,International Men's Group D Other Traditional Single Weapon
LAT,Romans Vlasenko,9.01,2nd Category Prize,International Men's Group D Other Traditional Single Weapon
GER,Sergej Merten,9,3rd Category Prize,International Men's Group D Other Traditional Single Weapon
MAS,BAN CHOON HNG,9,3rd Category Prize,International Men's Group D Other Traditional Single Weapon
AUS,John Callaghan,8.96,3rd Category Prize,International Men's Group D Other Traditional Single Weapon
LAT,Aleksejs Gailiss,8.93,3rd Category Prize,International Men's Group D Other Traditional Single Weapon
LAT,Anatolijs Kiselovs,8.92,,International Men's Group D Other Traditional Single Weapon
FRA,ROMERO Hrod,8.9,,International Men's Group D Other Traditional Single Weapon
COL,ALVARO LEON MEDINA,8.83,,International Men's Group D Other Traditional Single Weapon
USA,Sze Yen LIN,8.83,,International Men's Group D Other Traditional Single Weapon
SRI,S.D.L. KARUNARATHNA,8.79,,International Men's Group D Other Traditional Single Weapon
CAN,Henry Ging,8.86,1st Category Prize,International Men's Group D Nangun
CAN,Ivo Guillermo Gonzalez,8.83,2nd Category Prize,International Men's Group D Nangun
CAN,Desmond Mark Lee,8.8,3rd Category Prize,International Men's Group D Nangun
CAN,David Tomlinson,8.74,3rd Category Prize,International Men's Group D Nangun
CAN,Ira Charles Robinson II,8.72,,International Men's Group D Nangun
CAN,Victor Melville Lough,8.72,,International Men's Group D Nangun
CAN,Monte Lamond Watson,8.7,,International Men's Group D Nangun
