Rank	Bib	Athlete	NOC	Total				
3	04501	BERIY Michal	ISR	8.65	2ND Prize	. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
4	01310	MALAK MOHAMED Omar Montasser	EGY	8.6	2ND Prize	. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
5	04403	HOANG Vy Yen Nhi	VNM	8.59	2ND Prize	. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
6	01931	SPYRIDOU Melina	GRC	8.58	3RD Prize	. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
7	04201	CHUKANOVA Kristina	UKR	8.57	3RD Prize	. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
8	01912	KOURTIDOU Ioanna Nefeli	GRC	8.55	3RD Prize	. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
9	04351	SILBERSTEIN Mia Jacquelyn	USA	8.52	3RD Prize	. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
10	04321	HAO Youyang	USA	8.51	3RD Prize	. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
11	03507	FIETZE Mila Claryssa Esselen	ZAF	8.5		. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
12	01309	MALAK IBRAHIM Abouelmaati Mohamed	EGY	8.47		. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
13	01907	GEORGA Eleni Anna	GRC	8.44		. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
14	03402	ČELEĎOVÁ Diana	SVK	8.42		. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
15	04368	YU Ellany	USA	8.4		. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
16	03517	MTSHALI Uthembekile	ZAF	8.27		. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
17	04920	SINHALA PELI GEDARA Tanisha Keshavi Nawangi Ranasingha	LKA	7.93		. Women's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
1	01701	APKHAZAVA Sopiko	GEO	8.67	1ST Prize	. Women's Jian (Straight Sword)-Group C	Wushu Taolu	Emeishan
2	01702	ARZIANI Mariam	GEO	8.6	2ND Prize	. Women's Jian (Straight Sword)-Group C	Wushu Taolu	Emeishan
3	04503	FRENEKL Sasha	ISR	8.59	2ND Prize	. Women's Jian (Straight Sword)-Group C	Wushu Taolu	Emeishan
4	04614	SONOWAL Kashyapi	IND	8.52	2ND Prize	. Women's Jian (Straight Sword)-Group C	Wushu Taolu	Emeishan
5	02408	MUKHAMETOVA Aidana	KAZ	8.51	3RD Prize	. Women's Jian (Straight Sword)-Group C	Wushu Taolu	Emeishan
6	02102	ARUTYUNJAN Anna Maria	HUN	8.5	3RD Prize	. Women's Jian (Straight Sword)-Group C	Wushu Taolu	Emeishan
7	04107	COSKUN Ayse Sina	TUR	8.48	3RD Prize	. Women's Jian (Straight Sword)-Group C	Wushu Taolu	Emeishan
8	01206	MASKOVA Anna	CZE	8.47	3RD Prize	. Women's Jian (Straight Sword)-Group C	Wushu Taolu	Emeishan
9	04711	LAM Xue Ying	MYS	8.45		. Women's Jian (Straight Sword)-Group C	Wushu Taolu	Emeishan
10	01412	RABICO VIDEIRA Maria	PRT	8.42		. Women's Jian (Straight Sword)-Group C	Wushu Taolu	Emeishan
11	02110	LOBITZ Adel	HUN	8.39		. Women's Jian (Straight Sword)-Group C	Wushu Taolu	Emeishan
12	04903	DABUKA GEDARA Therani Nehara Thilakarathne	LKA	8.3		. Women's Jian (Straight Sword)-Group C	Wushu Taolu	Emeishan
13	01933	TAMPAKI Dimitra	GRC	8.26		. Women's Jian (Straight Sword)-Group C	Wushu Taolu	Emeishan
	04514	ZIPOR Galia	ISR	(DNS)		. Women's Jian (Straight Sword)-Group C	Wushu Taolu	Emeishan
1	04707	JAZMIN Alag	MYS	8.56	1ST Prize	. Women's Nandao (Southern Broadsword)-Group C	Wushu Taolu	Emeishan
2	04105	ALTUN Sude Merve	TUR	8.52	2ND Prize	. Women's Nandao (Southern Broadsword)-Group C	Wushu Taolu	Emeishan
3	03018	NEDELEA Ana Maria	ROU	8.48	3RD Prize	. Women's Nandao (Southern Broadsword)-Group C	Wushu Taolu	Emeishan
4	04923	WIJESUNDARA MUDIYANSELAGE Matheesha Gimhani Wijesundara	LKA	8.46	3RD Prize	. Women's Nandao (Southern Broadsword)-Group C	Wushu Taolu	Emeishan
5	04324	HUANG Emma Mei	USA	8.4		. Women's Nandao (Southern Broadsword)-Group C	Wushu Taolu	Emeishan
1	04506	KOGAN Erika	ISR	8.7	1ST Prize	. Women's Shanzi (Fan)-Group C	Wushu Taolu	Emeishan
2	05108	LAM Weng San	MAC	8.65	2ND Prize	. Women's Shanzi (Fan)-Group C	Wushu Taolu	Emeishan
3	02610	SPULE Estere Soﬁja	LVA	8.63	3RD Prize	. Women's Shanzi (Fan)-Group C	Wushu Taolu	Emeishan
4	03025	VLADAREANU Gabriela	ROU	8.56	3RD Prize	. Women's Shanzi (Fan)-Group C	Wushu Taolu	Emeishan
5	00622	NADARIO FREITAS Maria Eduarda	BRA	8.51		. Women's Shanzi (Fan)-Group C	Wushu Taolu	Emeishan
6	04337	LY Kayla Caroling	USA	8.43		. Women's Shanzi (Fan)-Group C	Wushu Taolu	Emeishan
7	04370	ZHANG Ashley Youran	USA	8.25		. Women's Shanzi (Fan)-Group C	Wushu Taolu	Emeishan
	04705	JASLYN TAN Yu Ching	MYS	(DNS)		. Women's Shanzi (Fan)-Group C	Wushu Taolu	Emeishan
	00104	POINT Flora	FRA	(DNS)		. Women's Shanzi (Fan)-Group C	Wushu Taolu	Emeishan
1	04311	DING Catrina	USA	8.62	1ST Prize	. Women's Other Single/Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
2	03310	LEOW Le Yi Edda	SGP	8.59	2ND Prize	. Women's Other Single/Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
3	04358	WANG Joy Zy	USA	8.58	2ND Prize	. Women's Other Single/Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
4	05111	LOK Mai Cheng	MAC	8.57	2ND Prize	. Women's Other Single/Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
5	02013	LEE Hiu Ching	HKG	8.56	3RD Prize	. Women's Other Single/Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
6	04346	SHAW Phylicia Boxi	USA	8.54	3RD Prize	. Women's Other Single/Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
7	01201	FIALOVA Barbora	CZE	8.51	3RD Prize	. Women's Other Single/Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
8	02802	AISPURO BRINGAS Marisol Guadalupe	MEX	8.5	3RD Prize	. Women's Other Single/Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
9	00709	Lilly May WRIGHT	GBR	8.49		. Women's Other Single/Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
10	04342	MO Emily Dongli	USA	8.48		. Women's Other Single/Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
11	01318	RANCY HAMED Zaki Hamed	EGY	8.45		. Women's Other Single/Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
12	02309	SHIBATA Kanon	JPN	8.41		. Women's Other Single/Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
13	04916	KHUVINDAHANDI Shavindi Ayodhya De Silva	LKA	8.32		. Women's Other Single/Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
14	04918	MEEGODA KANKANAMGE DON Dinari Sineli Meegoda	LKA	8.23		. Women's Other Single/Soft-Weapon Routines-Group C	Wushu Taolu	Emeishan
1	01516	TARTUFOLI Alessia	ITA	8.67	1ST Prize	. Women's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
2	01501	ABIS Sonia	ITA	8.64	2ND Prize	. Women's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
3	00611	DOS SANTOS DE ARAÚJO Raquel	BRA	8.59	2ND Prize	. Women's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
4	04405	LE Tran Bao Tran	VNM	8.57	3RD Prize	. Women's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
5	01917	LIONTOU Ioanna	GRC	8.56	3RD Prize	. Women's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
6	00714	Patricia FERNANDES LULIA JACOB	GBR	8.51	3RD Prize	. Women's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
7	01929	PAPAGEORGOPOULOU Marina	GRC	8.49		. Women's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
8	02107	HORVÁTH Dora Timea	HUN	8.46		. Women's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
9	02827	TREJO ROMAN Liliana	MEX	8.43		. Women's Dao (Broadsword)-Group D	Wushu Taolu	Emeishan
1	00939	ZHOU Lin	CHN	8.72	1ST Prize	. Women's Gun (Cudgel/Staﬀ)-Group D	Wushu Taolu	Emeishan
2	04104	AKYUZ Zeynep Makbule	TUR	8.68	2ND Prize	. Women's Gun (Cudgel/Staﬀ)-Group D	Wushu Taolu	Emeishan
3	04706	JASMINE TAY Jing Xuan	MYS	8.66	2ND Prize	. Women's Gun (Cudgel/Staﬀ)-Group D	Wushu Taolu	Emeishan
4	02403	KUSPANOVA Dayana	KAZ	8.62	3RD Prize	. Women's Gun (Cudgel/Staﬀ)-Group D	Wushu Taolu	Emeishan
5	01512	PISANI Teresa Aida	ITA	8.59	3RD Prize	. Women's Gun (Cudgel/Staﬀ)-Group D	Wushu Taolu	Emeishan
6	00701	Ashleigh Nicola Jade WYKES	GBR	8.49	3RD Prize	. Women's Gun (Cudgel/Staﬀ)-Group D	Wushu Taolu	Emeishan
7	05002	BAHODUROVA Firuzakhon	TJK	8.41		. Women's Gun (Cudgel/Staﬀ)-Group D	Wushu Taolu	Emeishan
8	02902	CIECHANOWSKA Magdalena Katarzyna	POL	8.4		. Women's Gun (Cudgel/Staﬀ)-Group D	Wushu Taolu	Emeishan
9	01409	GRAÇA OLIVEIRA CATARINO GONÇALVES Carolina Maria	PRT	8.36		. Women's Gun (Cudgel/Staﬀ)-Group D	Wushu Taolu	Emeishan
10	02608	SAFRONOVA Jekaterina	LVA	8.32		. Women's Gun (Cudgel/Staﬀ)-Group D	Wushu Taolu	Emeishan
1	00907	DUAN Yuan	CHN	9	1ST Prize	. Women's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
2	04213	POLTORATSKA Yana	UKR	8.65	2ND Prize	. Women's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
3	01808	KRON Yoni Shan Marina	DEU	8.6	2ND Prize	. Women's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
4	04509	OKUN Carmel	ISR	8.59	2ND Prize	. Women's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
5	04404	LE Gia Han	VNM	8.58	3RD Prize	. Women's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
6	04361	WONG Amy Ka-Lai	USA	8.55	3RD Prize	. Women's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
7	01901	BEKIARI Maria Ioanna	GRC	8.52	3RD Prize	. Women's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
8	02605	MALAHOVA Polina	LVA	8.5	3RD Prize	. Women's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
9	02116	VIZI Enikő	HUN	8.48		. Women's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
10	02109	KUN Enikő	HUN	8.47		. Women's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
11	04360	WESTERMAN Megan Ruth	USA	8.45		. Women's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
12	03114	VILLALONGA SEBASTIA Elena	ESP	8.43		. Women's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
13	00502	GUEVARA PINEDO Wara Lucero	BOL	8.41		. Women's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
14	04909	HENEGAMA MILLAGASANGE GEDARA Thiyangi Dimalsha Weerasinghe	LKA	8.4		. Women's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
	00301	AIT ZERROUK Melissa	DZA	(DNS)		. Women's Jian (Straight Sword)-Group D	Wushu Taolu	Emeishan
1	02014	LEE Wing Yung	HKG	9	1ST Prize	. Women's Nandao (Southern Broadsword)-Group D	Wushu Taolu	Emeishan
2	03309	LEE Sze Min Josephine	SGP	8.8	2ND Prize	. Women's Nandao (Southern Broadsword)-Group D	Wushu Taolu	Emeishan
3	03306	KALUARACHCHI Devni Chamodya	SGP	8.71	3RD Prize	. Women's Nandao (Southern Broadsword)-Group D	Wushu Taolu	Emeishan
4	04607	KAUR Karamjit	IND	8.6	3RD Prize	. Women's Nandao (Southern Broadsword)-Group D	Wushu Taolu	Emeishan
5	04317	FRANCO Luna Magdalena	USA	8.59		. Women's Nandao (Southern Broadsword)-Group D	Wushu Taolu	Emeishan
6	02914	RYCHLEWSKA Emila Marta	POL	8.57		. Women's Nandao (Southern Broadsword)-Group D	Wushu Taolu	Emeishan
1	02114	SIMON Viktoria	HUN	8.8	1ST Prize	. Women's Shanzi (Fan)-Group D	Wushu Taolu	Emeishan
2	01914	LAMPADA Maria	GRC	8.61	2ND Prize	. Women's Shanzi (Fan)-Group D	Wushu Taolu	Emeishan
3	00713	Myrsini Chionia CHRISTODOULELLI	GBR	8.59	3RD Prize	. Women's Shanzi (Fan)-Group D	Wushu Taolu	Emeishan
4	00625	PATTARO DE MENDONÇA Solange	BRA	8.57	3RD Prize	. Women's Shanzi (Fan)-Group D	Wushu Taolu	Emeishan
5	01939	VATZAKA Christina	GRC	8.56		. Women's Shanzi (Fan)-Group D	Wushu Taolu	Emeishan
1	02018	LI Hao	HKG	8.66	1ST Prize	. Men's -posture Taijijian-Group C	Wushu Taolu	Emeishan
2	03319	TAN En Jie	SGP	8.64	2ND Prize	. Men's -posture Taijijian-Group C	Wushu Taolu	Emeishan
3	02006	CHOW Yu Hong	HKG	8.62	3RD Prize	. Men's -posture Taijijian-Group C	Wushu Taolu	Emeishan
4	03317	SEAH Jun Xiang Dylan	SGP	8.61	3RD Prize	. Men's -posture Taijijian-Group C	Wushu Taolu	Emeishan
5	04363	WONG Kadyn	USA	8.55		. Men's -posture Taijijian-Group C	Wushu Taolu	Emeishan
1	04407	NGUYEN Khac Le Hoang	VNM	8.7	1ST Prize	. Men's Other Taijijian/Taijidao/Taijishan- Group B/C	Wushu Taolu	Emeishan
2	01306	JOHN SAAD Amoun Mocus	EGY	8.57	1ST Prize	. Men's Other Taijijian/Taijidao/Taijishan- Group B/C	Wushu Taolu	Emeishan
3	01511	MURENU Matteo	ITA	8.5	1ST Prize	. Men's Other Taijijian/Taijidao/Taijishan- Group B/C	Wushu Taolu	Emeishan
4	04315	DONG Lucas Bogang	USA	8.45	2ND Prize	. Men's Other Taijijian/Taijidao/Taijishan- Group B/C	Wushu Taolu	Emeishan
5	04915	KARUNANAYAKA MUDIYANSELAGE Anuja Chamod	LKA	8.42	2ND Prize	. Men's Other Taijijian/Taijidao/Taijishan- Group B/C	Wushu Taolu	Emeishan
6	04912	IMI ARACHILLAGE Anuhas Chandupa Ranaweera	LKA	8.4	2ND Prize	. Men's Other Taijijian/Taijidao/Taijishan- Group B/C	Wushu Taolu	Emeishan
7	04914	JAYASUNDARA Pemitha Randes	LKA	8.35	3RD Prize	. Men's Other Taijijian/Taijidao/Taijishan- Group B/C	Wushu Taolu	Emeishan
8	04372	ZHANG Donghe	USA	8.14	3RD Prize	. Men's Other Taijijian/Taijidao/Taijishan- Group B/C	Wushu Taolu	Emeishan
9	03022	ROGOVEANU Dario	ROU	7.96	3RD Prize	. Men's Other Taijijian/Taijidao/Taijishan- Group B/C	Wushu Taolu	Emeishan
10	03023	ROGOVEANU David	ROU	7.95	3RD Prize	. Men's Other Taijijian/Taijidao/Taijishan- Group B/C	Wushu Taolu	Emeishan
11	01003	YING Ruoxiang	CAN	7.92		. Men's Other Taijijian/Taijidao/Taijishan- Group B/C	Wushu Taolu	Emeishan
12	03007	GRAD George Raul	ROU	7.91		. Men's Other Taijijian/Taijidao/Taijishan- Group B/C	Wushu Taolu	Emeishan
13	04907	GAJANAYAKA MUDALIGE Lakidu Himsara Gajanayaka	LKA	7.89		. Men's Other Taijijian/Taijidao/Taijishan- Group B/C	Wushu Taolu	Emeishan
	03024	TECI Alexandra Jasmine	ROU	(DNS)		. Men's Other Taijijian/Taijidao/Taijishan- Group B/C	Wushu Taolu	Emeishan
	01002	JIN Yinuo	CAN	(DNS)		. Men's Other Taijijian/Taijidao/Taijishan- Group B/C	Wushu Taolu	Emeishan
1	00937	ZHENG Zhichao	CHN	8.86	1ST Prize	. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
2	02025	YEUNG Chung Hei	HKG	8.81	1ST Prize	. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
3	02017	LEUNG Yat Sing	HKG	8.77	2ND Prize	. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
4	04412	TRAN Phan Anh Tuan	VNM	8.76	2ND Prize	. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
5	04801	CHUANG Tate Mathew	PHL	8.74	2ND Prize	. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
6	02203	LOEIS Erick Citra	IDN	8.74	2ND Prize	. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
7	05110	LI Shaoyue	MAC	8.69	3RD Prize	. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
8	01305	HESHAM NABIL Abdelnabi Mohamed	EGY	8.66	3RD Prize	. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
9	01505	BISONI Gianluigi	ITA	8.63	3RD Prize	. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
10	01805	JANSEN Kai Frank	DEU	8.62	3RD Prize	. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
11	04601	BHATI Shivam	IND	8.61	3RD Prize	. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
12	04913	JAYASEKARA MUDALIGE Hirusha Madushanka Jayasekara	LKA	8.6	3RD Prize	. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
13	02304	KOJIMA Ryuhei	JPN	8.58		. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
14	01804	HUYNH Christoph Ngoc-Son	DEU	8.56		. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
15	01208	NOVOTNY Lukas	CZE	8.56		. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
16	03505	DU PLESSIS Alexander Dirk	ZAF	8.51		. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
17	03113	SIMON GARCIA Mario	ESP	8.49		. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
18	00612	FERREIRA PENSE William	BRA	8.37		. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
19	00630	SANT'ANNA LIMA DE ALMEIDA Gabriel Guarino	BRA	8.31		. Men's Other Taijijian Routines-Group D	Wushu Taolu	Emeishan
1	00103	LIN Sanzhe	FRA	8.7	1ST Prize	. Men's Taijishan/Taijidao Routines- Group D/E	Wushu Taolu	Emeishan
2	02020	SAT Pak Long	HKG	8.69	2ND Prize	. Men's Taijishan/Taijidao Routines- Group D/E	Wushu Taolu	Emeishan
3	00801	NUÑEZ ALARCON Rafael Ignacio	CHL	8.57	3RD Prize	. Men's Taijishan/Taijidao Routines- Group D/E	Wushu Taolu	Emeishan
4	01203	HOREJS Milan	CZE	8.55	3RD Prize	. Men's Taijishan/Taijidao Routines- Group D/E	Wushu Taolu	Emeishan
5	00635	ZANINI Caio	BRA	8.51		. Men's Taijishan/Taijidao Routines- Group D/E	Wushu Taolu	Emeishan
6	04609	PODAKANTI Satyajith Chary	IND	8.5		. Men's Taijishan/Taijidao Routines- Group D/E	Wushu Taolu	Emeishan
	00302	AIT-ZERROUK Karim	DZA	(DNS)		. Men's Taijishan/Taijidao Routines- Group D/E	Wushu Taolu	Emeishan
1	00910	HU Liqing	CHN	8.76	1ST Prize	. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
2	03311	LIM Che How	SGP	8.7	1ST Prize	. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
3	03322	TAY Ah Huat	SGP	8.67	2ND Prize	. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
4	00925	YAN Haichun	CHN	8.64	2ND Prize	. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
5	00908	FU Nengbin	CHN	8.63	2ND Prize	. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
6	04371	ZHANG Cheng	USA	8.62	2ND Prize	. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
7	02611	VLASENKO Romans	LVA	8.59	3RD Prize	. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
8	03407	SLAMKA Michal	SVK	8.58	3RD Prize	. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
9	03701	ORICCHIO Alexandre Maximilien Marc	CHE	8.57	3RD Prize	. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
10	05113	TIAN Chunyang	MAC	8.56	3RD Prize	. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
11	01711	SUMBULASHVILI Lasha	GEO	8.51	3RD Prize	. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
12	02501	BROWN Mitchell Alexander Leon	AUS	8.51		. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
13	02606	NIKISINS Aleksejs	LVA	8.5		. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
14	04910	HERATH MUDIYANSELAGE Ananda Kumara	LKA	8.48		. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
15	02904	DYBICZ Tomasz Jacek	POL	8.48		. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
16	03502	BERRY Brett James	ZAF	8.47		. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
17	04906	FERNANDO Punchividanelage Mahesh Deepal	LKA	8.45		. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
18	01202	HAUSKA Jiri	CZE	8.27		. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
	01932	1STAMATOPOULOS Grigorios	GRC	(DNS)		. Men's Other Taijijian Routines-Group E	Wushu Taolu	Emeishan
1	00932	ZHANG Qianqiu	CHN	8.79	1ST Prize	. Men's Taijidao-Group E	Wushu Taolu	Emeishan
2	03301	ANG Boon Seng Royce	SGP	8.66	2ND Prize	. Men's Taijidao-Group E	Wushu Taolu	Emeishan
3	01410	MARTINS GONCALVES Marco Antonio	PRT	8.51	3RD Prize	. Men's Taijidao-Group E	Wushu Taolu	Emeishan
4	03107	LOPEZ MORENO Raul	ESP	8.5	3RD Prize	. Men's Taijidao-Group E	Wushu Taolu	Emeishan
5	03016	MIHAILA Claudiu	ROU	8.29		. Men's Taijidao-Group E	Wushu Taolu	Emeishan
6	01005	ZHOU Xu	CAN	8.25		. Men's Taijidao-Group E	Wushu Taolu	Emeishan
1	05112	LON Weng Kam	MAC	8.61	1ST Prize	. Men's Taijijian-Group F	Wushu Taolu	Emeishan
2	03110	NIÑO ORTEGA Eloy Alberto	ESP	8.55	2ND Prize	. Men's Taijijian-Group F	Wushu Taolu	Emeishan
3	04329	LEHMANN Nicholas Duﬀ	USA	8.51	3RD Prize	. Men's Taijijian-Group F	Wushu Taolu	Emeishan
4	02506	LO Wing Kit Albert	AUS	8.46	3RD Prize	. Men's Taijijian-Group F	Wushu Taolu	Emeishan
5	02502	CHAN Han Yeh	AUS	8.38		. Men's Taijijian-Group F	Wushu Taolu	Emeishan
1	04314	DONG Dennis Bokui	USA	8.47	1ST Prize	. Men's Other Double- Weapon Routines-Group A/B	Wushu Taolu	Emeishan
2	03325	WENG Linxu	SGP	8.42	2ND Prize	. Men's Other Double- Weapon Routines-Group A/B	Wushu Taolu	Emeishan
3	04716	YAP Jun Kai	MYS	8.41	3RD Prize	. Men's Other Double- Weapon Routines-Group A/B	Wushu Taolu	Emeishan
4	04356	WANG Allan Chenxi	USA	8.4	3RD Prize	. Men's Other Double- Weapon Routines-Group A/B	Wushu Taolu	Emeishan
5	04373	ZHANG Jason	USA	8.33		. Men's Other Double- Weapon Routines-Group A/B	Wushu Taolu	Emeishan
6	04701	CHIN Shawn	MYS	8.29		. Men's Other Double- Weapon Routines-Group A/B	Wushu Taolu	Emeishan
1	05102	CHAN Fengze	MAC	8.47	1ST Prize	. Men's Other Single-Weapon Routines-Group B	Wushu Taolu	Emeishan
2	04322	HE Dragon	USA	8.46	1ST Prize	. Men's Other Single-Weapon Routines-Group B	Wushu Taolu	Emeishan
3	04504	FRENKEL David	ISR	8.44	2ND Prize	. Men's Other Single-Weapon Routines-Group B	Wushu Taolu	Emeishan
4	01313	MOHAMED IBRAHIM Mohamed Mokhtar	EGY	8.42	2ND Prize	. Men's Other Single-Weapon Routines-Group B	Wushu Taolu	Emeishan
5	03320	TAN Qi Han Darren	SGP	8.41	3RD Prize	. Men's Other Single-Weapon Routines-Group B	Wushu Taolu	Emeishan
6	01601	ZWAAL Jan Joris	NLD	8.4	3RD Prize	. Men's Other Single-Weapon Routines-Group B	Wushu Taolu	Emeishan
7	00505	HUANACUNI PINEDO Huaskar Soriam	BOL	8.37	3RD Prize	. Men's Other Single-Weapon Routines-Group B	Wushu Taolu	Emeishan
8	02512	ZHOU Zichin	AUS	8.31		. Men's Other Single-Weapon Routines-Group B	Wushu Taolu	Emeishan
9	02823	RAZO ACOSTA Jose Luis	MEX	8.24		. Men's Other Single-Weapon Routines-Group B	Wushu Taolu	Emeishan
10	02826	TORRES RODRIGUEZ Mario Rafael	MEX	8.1		. Men's Other Single-Weapon Routines-Group B	Wushu Taolu	Emeishan
	00507	LEON RAZNATOVIC Darko Alejandro	BOL	(DNS)		. Men's Other Single-Weapon Routines-Group B	Wushu Taolu	Emeishan
1	01317	OMAR EMAD Shehata Tony	EGY	8.67	1ST Prize	. Men'sShuangdao (Double Broadsword)- Group C	Wushu Taolu	Emeishan
2	04375	ZHENG Lin	USA	8.66	2ND Prize	. Men'sShuangdao (Double Broadsword)- Group C	Wushu Taolu	Emeishan
3	02803	ALVAREZ RUIZ Mario Alejandro	MEX	8.64	2ND Prize	. Men'sShuangdao (Double Broadsword)- Group C	Wushu Taolu	Emeishan
4	04332	LI Jasper Zhen Bao	USA	8.61	3RD Prize	. Men'sShuangdao (Double Broadsword)- Group C	Wushu Taolu	Emeishan
5	00707	Jack William CALDICOTT	GBR	8.59	3RD Prize	. Men'sShuangdao (Double Broadsword)- Group C	Wushu Taolu	Emeishan
6	05103	CHEOK Wa Weng	MAC	8.53		. Men'sShuangdao (Double Broadsword)- Group C	Wushu Taolu	Emeishan
7	01936	TOUROUTSIKAS Panagiotis	GRC	8.51		. Men'sShuangdao (Double Broadsword)- Group C	Wushu Taolu	Emeishan
8	02416	ZHADIGER Alkarim	KAZ	8.49		. Men'sShuangdao (Double Broadsword)- Group C	Wushu Taolu	Emeishan
	04331	LI Chengrui	USA	(DNS)		. Men'sShuangdao (Double Broadsword)- Group C	Wushu Taolu	Emeishan
1	04359	WANG Justin Xuming	USA	8.95	1ST Prize	. Men's Other Double-Weapon Routines-Group C	Wushu Taolu	Emeishan
